vendor_name,legal_name,headquarters_address,address,rcs_number,vat_number,social_capital,eu_contact_name,eu_contact_address,eu_contact_country,eu_contact_email
Adeo Positive Home,TERRA INCOGNITA,"135 rue Sadi Carnot, 59790 Ronchin","135 rue Sadi Carnot, 59790 Ronchin",Lille Métropole 519 022 594,FR29519022594,"500 000,00€",Fabio SALVOTTI,8 rue Desaix - 59110 La Madeleine,,fabio.salvotti@adeo.com
KENAY HOME,KENAY RETAIL SL,"c/ Profesora Ana Rojo, nº3, 46910 (Alfafar) Valencia","c/ Profesora Ana Rojo, nº3, 46910 (Alfafar) Valencia",ESB98355662,ESB98355662,"250 000,00 €",KENAY RETAIL S.L,C/ PROFESORA ANA ROJO 3 - LOCAL A ALFAFAR 46-VALENCIA,,apresvente@kenayhome.com
Made in Meubles,MADE-IN-MEUBLES SARL,"3 rue Denis Masquelier - ZAC de la Planque, 59710 PONT A MARCQ","3 rue Denis Masquelier - ZAC de la Planque, 59710 PONT A MARCQ",Lille Métropole 813 946 696,FR27813946696,252 000 €,PAUL DEMARS,3 rue Denis Masquelier 59710 PONT-À-MARCQ,,contact@made-in-meubles.com
MOB-IN,HOME SIGHT SARL,33 rue de Reckem 59960 NEUVILLE EN FERRAIN,33 rue de Reckem 59960 NEUVILLE EN FERRAIN,LILLE 528 193 741,FR02528193741,50 000 €,HOMESIGHT,"104 allée Hélène Boucher, 59118 Wambrechies FRANCE",,contact@mob-in.com
Groupe Lebrun,GROUPE LEBRUN SAS,"275 Chemin du Lobel, 62510 ARQUES","275 Chemin du Lobel, 62510 ARQUES",BOULOGNE 576 780 076,FR17576780076,1 000 000€,Groupe Lebrun,Chemin du Lobel 62510 Arques,,sav@lebrun.fr
Kok Maison,KOK DISTRIBUTION SARL,63 Rue Maurice  Simono 59250 HALLUIN,73 rue Thomas Becket 59250 HALLUIN,LILLE METROPOLE 452 022 262,FR08452022262,5 200 €,Eric Ledi,"73 rue Thomas Becket, 59250 Halluin, France",,boutique@kokmaison.com
Oviala,OVIALA,"33 rue de Reckem, 59960 NEUVILLE EN FERRAIN","33 rue de Reckem, 59960 NEUVILLE EN FERRAIN",LILLE METROPOLE 453 135 394,FR82453135394,1 009 000 €,Oviala,"33 Rue de Reckem, 59960 Neuville-en-Ferrain",,serviceclient@oviala.com
RNT by Really Nice Things,ADAPTA BLUE SLU,C/CREU ROJA 1 BL.2 46014 VALENCIA ESPAGNE,C/CREU ROJA 1 BL.2 46014 VALENCIA ESPAGNE,VALENCIA B44551299,ESB44551299,4 000 €,ADAPTA BLUE SLU,"C/.Andarella 2, bq 3 semi-sotano 7 46950 Xirivella España",,info@reallynicethings.es
Rendez-Vous Déco,ARC-EN-CIEL D’INTÉRIEUR SAS,7 rue Jean Elysée Dupuy 69410 Champagne-au-Mont-d'Or,7 rue Jean Elysée Dupuy 69410 Champagne-au-Mont-d'Or,Lyon 522 758 028,FR 18 522 758 028,70 792€,Arc en Ciel d'Intérieur,"7 rue Jean Elysée Dupuy, 69410 Champagne-au-Mont-d'Or",,contact@rdvdeco.com
Robindesbois.com,SAS ROBINDESBOIS.com,5 avenue des Grands Philambins 86360 CHASSENEUIL DU POITOU,5 avenue des Grands Philambins 86360 CHASSENEUIL DU POITOU,POITIERS 818 924 979,FR77818924979,50 000 €,S.A.S. robindesbois.com,"5 Avenue des Grands Philambins, 86360 Chasseneuil du Poitou, Nouvelle Aquitaine, France",,admin@robindesbois.com
Saudara,Saudara SAS,"1 rue Soyouz, 31240 l'Union","1 rue Soyouz, 31240 l'Union",Toulouse 833 667 744,FR58833 667 744,1000€,Roudié Honoré Juliette,1 rue de Soyouz 31240 L'Union France,,contact@saudaracollections.fr
Calicosy,SOSMART SAS,156 chaussée Pierre Curie 59200 TOURCOING,7 Chemin du château d'eau 59700 MARCQ-EN-BAROEUL,LILLE 828 428 557,FR86828428557,315 000 €,SOSMART SAS,"7 Chemin du Château d'Eau, 59700 Marcq-en-Baroeul, FRANCE",,contact@calicosy.com
Tikamoon,TICKET FOR THE MOON SAS,4 ALLEE DU PROGRES 59320 ENGLOS,4 ALLEE DU PROGRES 59320 ENGLOS,LILLE 492 684 279,FR23 492 684 279,31 600 €,TICKET FOR THE MOON,"4 allée du progrès, 59320 Englos",,contact@tikamoon.com
Wanda Collection,SARL WANDA COLLECTION,"137 Chemin de la Charrette, 73200 ALBERTVILLE","137 Chemin de la Charrette, 73200 ALBERTVILLE",884 690 710 000 14 Chambery,FR 468 846 907 10,1 000 000 €,Wanda collection,137 chemin de la charrette 73200 Albertville,,contact@wanda-collection.com
Wenko,WENKO-WENSELAAR GmbH & Co KG,"Im Hülsenfeld 10, 40721 Hilden","Im Hülsenfeld 10, 40721 Hilden",HRA Düsseldorf 16108,DE121379598,"21 090 000,00 €",Wenko-Wenselaar GmbH & Co. KG,"Im Hülsenfeld 10 , D-40721, HILDEN, Germany (DE) / Allemagne",,ccare@wenko.de
Zago Store,BE CONNECTED SARL,10 avenue du Trélod 74150 RUMILLY,10 avenue du Trélod 74150 RUMILLY,ANNECY B 500 031 596,FR82500031596,503 136 €,Jérôme Favre-Marinet,"10 Avenue du Trélod, 74150 Rumilly",France,jerome.favre@pro-living.fr
Miliboo,Miliboo SA,17 rue Mira - Parc Altais   74650 CHAVANOD,17 rue Mira - Parc Altais  74650 CHAVANOD,ANNECY 482 930 278,FR10482930278,"482 719,30 €",Guillaume Lachenal,"17 rue Mira Parc Altaïs, 74650, Chavanod",,miliboo@miliboo.fr
Artificielles,ARTIFICIELLES.COM,17-19 impasse Balzac 41800 MONTOIRE SUR LE LOIR,17-19 impasse Balzac 41800 MONTOIRE SUR LE LOIR,BLOIS 499 833 648,FR72499833648,18 000 €,CHOPIN Pascal,17/19 impasse Balzac 41800 Montoire sur le loir,,contact.clients@artificielles.com
Gérard Lamy,GERARD LAMY,"7 CHEMIN DES GUERETS, 07130 SAINT PERAY, France","7 CHEMIN DES GUERETS, 07130 SAINT PERAY, France",AUBENAS B 405 337 585,FR09405337585,44.800 €,GERARD LAMY,7 CHEMIN DES GUERETS - 07130 SAINT PERAY,France,contact@gerardlamy.com
Hydile,HYD'ILE,"85 Allée du Verdon, 26300 BOURG DE PEAGE, France","85 Allée du Verdon, 26300 BOURG DE PEAGE, France",Romans 750355737,FR57750355737,1000€,Didier HEYRAUD,"85 Allée du Verdon, 26300 BOURG DE PEAGE, France",France,dh@hydile.com
BasicLabel,BASICLABEL B.V.,"Jan Tinbergenweg 1, 1689ZV Zwaag","Jan Tinbergenweg 1, 1689ZV Zwaag",ZWAAG 37068523,NL803355361B01,"18,606.00 €",Basiclabel B.V.,"Jan Tinbergenweg 1 , 1689ZV Zwaag, Nederland",,ecommerce@basiclabel.nl
Cotton Bird,LES EDITIONS CREATIVES,"27 rue Gustave Eiffel, 66280 SALEILLES","27 rue Gustave Eiffel, 66280 SALEILLES",Perpignan 532 425 097,FR 68532 425 097,70 000 €,Kevin Ha,41 CHEMIN VERT 59237 VERLINGHEM,France,kevin.ha@cottonbird.team
Future Home,FUTURE HOME SARL,"5 rue de l'Europe, 59160 LILLE","5 rue de l'Europe, 59160 LILLE",Lille Métropole 498459593,FR19498459593,37 733€,Future Home,"5 Rue de l'Europe Lomme, 59160 Lille",,serviceclient@futurehome.fr
Hexoa,SARL HEXOA,10 impasse de la Lande Zone Artisanale Laubian 40510 SEIGNOSSE,10 impasse de la Lande Zone Artisanale Laubian 40510 SEIGNOSSE,Dax 503 783 227,FR65503783227,2 500 €,GOBBINI MATHIEU,"10 impasse de la lande, za de laubian",,m.gobbini@hexoa.fr
L'afficherie,TMG MEDIA,37 bis rue des Frères Lumières 37170 CHAMBRAY LES TOURS,37 bis rue des Frères Lumières 37170 CHAMBRAY LES TOURS,Tours 848 232 641,FR32848232641,100 000€,CERRUTI Thomas,37b rue des frères Lumière 37170 Chambray Les Tours,,contact@lafficherie.com
Wall Editions,WALL EDITIONS SAS,6 boulevard des monts d’or – 69580 SATHONAY-CAMP,6 boulevard des monts d’or – 69580 SATHONAY-CAMP,LYON 798 148 730,FR38 798 148 730,1 000€,OLIVIER BOURDEREAU,6 avenue du commandant l'Herminier - 69100 Villeurbanne - FRANCE,,olivier.bourdereau@hotmail.fr
Novatrend,NOVATREND SARL,"22 rue Cheret, 94000 CRETEIL",41 Avenue Paul Doumer 75116 PARIS,Créteil 834 900 367,FR93834900367,1 000 €,Ilan Taieb,12 rue Degas 75016 Paris,,contact@nova-trend.com
Acte-Deco,ACTE DECO SARL,26 rue des Oliviers 85170 LE POIRÉ-SUR-VIE,"Halles 1&2, 5 allée Frida Kahlo 44200 NANTES",ROCHE SUR YON 492 448 238,FR00492448238,2 000 €,Plessis,26 Rue Des Oliviers 85170 Le Poire-Sur-Vie,,contact@acte-deco.fr
Berg Toys,BERG TOYS,"Stevinlaan 2, 6716 WB Ede, Pays-Bas","Stevinlaan 2, 6716 WB Ede, Pays-Bas",ARNHEM 09094642,NL806218290B01,"18 151,21€",BERG TOYS,"Stevinlaan 2, 6716 WB Ede, Pays-Bas",,info@berg.com
Globber,GLOBBER France SAS,66 RUE L'INDUSTRIE 01120 MONTLUEL,66 RUE L'INDUSTRIE 01120 MONTLUEL,Bourg en Bresse 885 314 799,FR19885314799,100 000€,GLOBBER France,66 avenue de l'Industrie,,contact@globberfrance.com
Vent de Bohème,VENT DE BOHEME SARL,"3 Cheminement des Gentianes, 31100 TOULOUSE","96 Avenue de Saint Maur, 34000 MONTPELLIER",TOULOUSE 792 516 361,FR40792516361,7 500 €,Karine Aracil,"39, impasse des basaltes 34980 Montferrier sur lez",,karine@ventdeboheme.com
EGK Distribution,SAS EGK DISTRIBUTION,155 route d'Avignon  84300 Cavaillon,155 route d'Avignon  84300 Cavaillon,AVIGNON B 511 167 983,FR18511167983,190 000 €,EGK Distribution,"155 route d'Avignon, 84300 Cavaillon",,christophe.bertrand@egk-distribution.com
Little Crevette,SARL VACOME,"610 bis rue de Tourcoing, 59420 Mouvaux, France","610 bis rue de Tourcoing, 59420 Mouvaux, France",LILLE 753 223 551,FR 84 753 223 551,1 000 €,Marie-Aude Régner,"610 bis rue de Tourcoing, 59420 Mouvaux, France",,contact@little-crevette.fr
Care Fitness,C.A.R.E. - CONSTRUCTION D'APPAREILS DE REEDUCATION ET D'ENTRAINEMENT SAS,"18, rue Bernard 93000 BOBIGNY","18, rue Bernard 93000 BOBIGNY",BOBIGNY 482 114 618,FR49482114618,1 680 040 €,Patrick Vila,18 RUE BERNARD - 93000 BOBIGNY,,care@carefitness.com
iFIT Health et Fitness,iFIT HEALTH ET FITNESS SAS,5 rue Alfred de Vigny 78112 FOURQUEUX,5 rue Alfred de Vigny 78112 FOURQUEUX,VERSAILLES 400 007 373,FR17400007373,3 648 000 €,iFIT Health et Fitness,"5 rue Alfred de Vigny, 78112 - Fourqueux",,salesfr@iconeurope.com
Janine Robin,SARL LAURA BEACH,7 allée Ferdinand de Lesseps 33470 GUJAN-MESTRAS,7 allée Ferdinand de Lesseps 33470 GUJAN-MESTRAS,BORDEAUX 753 315 167,FR34753315167,150 000 €,LAURA TIBA,14 avenue de verdun 33470 La teste de Buch,,laura.tiba@janinerobin.com
Le Slip Français,LE SLIP FRANCAIS SA,6 rue de Paradis 75010 Paris,6 rue de Paradis 75010 Paris,Paris 539 130 195,FR84539130195,172 512€,Léa Marie,6 rue de Paradis 75010,France,bonjour@leslipfrancais.fr
Wolf Lingerie,WOLF LINGERIE SASU,2 rue Alfred Kastler  67610 La Wantzenau,2 boulevard Saint Martin 75010 PARIS,638 502 104 RCS Strasbourg,FR 856 385 021 04,"1 731 081, 25 €",WOLF LINGERIE,2 rue Alfred Kastler - 67610 LA WANTZENAU,,contact@wolf-sa.fr
KS Cycling,Avantago Sports GmbH,"In der Fleute, 72-74 42389 WUPPERTAL, ALLEMAGNE","In der Fleute 72-74, 42389 WUPPERTAL, ALLEMAGNE",Registre allemand : HRB 10874,DE236855182,200 000€,Pierre Steinhauer,"In der Fleute 72-74, 42389 Wuppertal, Allemagne",,service@ks-cycling.com
Ekobo,EKOBO SAS,"40 Rue Alexandre Dumas, 75011 Paris, France","40 Rue Alexandre Dumas, 75011 Paris, France",PARIS 451 665 780,FR84451665780,40 000 €,EKOBO SAS,"40 Rue Alexandre Dumas, 75011 Paris",France,admin@ekobo.eu
Delsey Paris,DELSEY PARIS,"25 Rue du général FOY, 75008 PARIS","25 Rue du général FOY, 75008 PARIS",PARIS 572 017 507,FR 22 572 017 507,52 099 596 €,DELSEY,25 Rue du Général Foy,,relationclient@delsey.com
Lancaster,LANCASTER SARL,"422 rue Saint-Honoré, 75008 PARIS","14 rue Auber, 75009 PARIS",PARIS 387 651 565,FR76387651565,250 000 €,Lancaster,"422 rue Saint-Honoré, 75008 Paris",,contact@lancaster.com
Vivaraise,SDE SAS,"13A rue du Maréchal Lefebvre, 67100 STRASBOURG","13A rue du Maréchal Lefebvre, 67100 STRASBOURG",STRASBOURG 521 344 226,FR 34 521 344 226,962 000 €,SDE,"13 A Rue du Maréchal Lefebvre, 67100 Strasbourg, France",,sde@sde.fr
Chariots de course Rolser,OPTIPLAST SARL,"3 chemin de Savignois, 391401 BLETTERANS","3 chemin de Savignois, 391401 BLETTERANS",Lons Le Saunier 452 592 660,FR25452592660,256 000€,OPTIPLAST,3 CHEMIN DE SAVIGNOIS 39140 BLETTERANS,,info@optiplast.com
Kapten & Son,Kapten & Son GmbH,"Agrippinawerft 28, 50678 Köln, Germany","Agrippinawerft 28, 50678 Köln, Germany",COLOGNE HRB 93163,DE297165047,25.000€,Kapten & Son GmbH,"Agrippinawerft 28, 50678 Köln, Germany",Allemagne,johannes.theobald@kapten-son.com
Cleor,CLEOR SAS,60 rue Roland Garros  27930 LE VIEIL EVREUX,60 rue Roland Garros  27930 LE VIEIL EVREUX,EVREUX 413 873 670,FR70413873670,43 091 620 €,Christophe BIZOT,"100-101 Terrasse Boieldieu (Tour Franklin), 92800 PUTEAUX",,
Bluespirit Official Store,DIP DIFFUSIONE ITALIANA PREZIOSI SPA,"Via Commerciale 29, 35010 SANTA GIUSTINA IN COLLE ITALIE","Via Commerciale 29, 35010 SANTA GIUSTINA IN COLLE ITALIE",PD-380466,IT01757100282,1 250 000 €,Dip Spa,"Via Commerciale 29 , 35010, Fratte di S.Giustina in Colle (PD), Italia",,sellerbs@bluespirit.com
Aubade Paris,AUBADE PARIS SAS,"10 rue du Colonel Driant, 75001 PARIS","10 rue du Colonel Driant, 75001 PARIS",Paris 775 695 901,FR00775695901,15 754 230€,Aubade Paris,"Aubade Paris, 10 rue du Colonel Driant 75001 Paris",,contact@aubadepro.com
Chevignon,ETS CHARLES CHEVIGNON,36 rue du Faubourg Saint-Antoine  75012 PARIS,36 rue du Faubourg Saint-Antoine  75012 PARIS,Paris 316 643 170,FR83316643170,42 662 557 €,ETS CHARLES CHEVIGNON,"36 rue du Faubourg Saint-Antoine, 75012 Paris, France",,serviceclients@chevignon.fr
Finsbury Shoes,AB TRADING SAS,"22 avenue de l'Opéra, 75001 PARIS","5 Avenue des Violettes, 94380 Bonneuil sur Marne",PARIS 433 504 230,FR43433504230,500 000 €,AB TRADING,22 Avenue de l'Opéra 75001 Paris,France,service.client@finsbury-shoes.com
Les Loulous de la Plage,CAMIREL DIFFUSION SARL,17 Avenue du Pinchinier Le mont des oiseaux 83320 CARQUEIRANNE,17 Avenue du Pinchinier Le mont des oiseaux 83320 CARQUEIRANNE,TOULON 510 670 391,FR72510670391,12 000 €,BAREL,"17, avenue du pinchinier",,msb.camirel@gmail.com
Linandelle,DU PONT DES JARDINS SARL,1 allée des jardins 27380 CHARLEVAL,1 allée des jardins 27380 CHARLEVAL,EVREUX 448 856 641,FR 27 448 856 641,229000 €,Frederic GAUTIER,1 rue du galardon,,f.gautier@linandelle.com
OMyDream,CHAULNES TEXTILES INDUSTRIES SAS,"37 bis rue de Villiers, 92200 NEUILLY-SUR-SEINE","37 bis rue de Villiers, 92200 NEUILLY-SUR-SEINE",RCS Nanterre 323 601 351,FR32323601351,3 000 000€,Laurence Rakover,"37 bis rue de Villiers, 92200 Neuilly-sur Seine",,lrakover@cti-sa.fr
Pomm'Poire,V2D RETAIL SARL,"1, rue des Lainiers - ZAC du Beck - 59150 WATTRELOS","1, rue des Lainiers - ZAC du Beck - 59150 WATTRELOS",ROUBAIX 790 147 714,FR28790147714,100 000 €,Tanguy Toulemonde,1 rue des Lainiers ZAC du Beck - Wattrelos 59150,,tanguy.toulemonde@v2dlingerie.com
Premiers Moments,PREMIERS MOMENTS SASU,"10 rue de Penthièvre, 75008 PARIS","27 rue du Chemin vert, 75011 PARIS",Paris 832852487,FR45832852487,30 000 €,Premiers Moments,"10 rue de Penthièvre, 75008 Paris",,contact@premiersmoments.com
Le Matelas,DTLM - SAS,"8 rue Joseph Marie Jacquard, 59150 WATTRELOS","8 rue Joseph Marie Jacquard, 59150 WATTRELOS",Lille Métropole 512 472 564,FR05512472564,1 000 000 €,DTLM,"8 Rue Joseph Marie Jacquard, 59150 Wattrelos",,contact@lematelas.fr
Smoon,SMOON SAS,"71 boulevard de Strasbourg, 75010 PARIS",96 avenue de la république 75010 PARIS,Paris 843 426 206,FR68843426206,5 000€,Mathilde Houset,96 avenue de la République 75011 PARIS,,contact@smoon-lingerie.com
Are&Why SAS,ARE & WHY SAS,2 rue Gabriel Vicaire angle 12 rue Perrée 75003 PARIS,2 rue Gabriel Vicaire angle 12 rue Perrée 75003 PARIS,PARIS 417 493 699,FR37417493699,54 000€,Dodd,"2 rue Gabriel Vicaire, 75003 Paris",France,rd@robertdodd.com
Sylvie Thiriez,SAS TEXTILES ET CREATIONS PRODUCTION,"198 rue de la Lys, 59250 Halluin","198 rue de la Lys, 59250 Halluin",LILLE METROPOLE 398 335 257,FR24398335257,"841 962,20 €",Clémentine Lefevre,198 RUE DE LA LYS 59250 HALLUIN,,bonjour@sylviethiriez.com
Doux Good,PÉPINIÈRE DE BEAUTE,"1 place Victor Basch, 69006 LYON","1 place Victor Basch, 69006 LYON",Lyon 799 028 147,FR83799028147,238 000€,CAROLE GIBOZ HONNART,1 Place Victor Basch 69003 LYON,,carole@doux-good.com
Octopus Services,OCTOPUS SERVICES SAS,"4 place Louis Armand, 75012 PARIS",,Paris 903 054 229,FR35903054229,10 000 €,L’ORÉAL PARIS,"L’ORÉAL PARIS - 14, rue Royale - 75008 Paris France",,relationconsommateur@lorealparis.oaccare.fr
Peaulette,COMPAGNIE EUROPEENNE DES PARFUMS SASU,"10 C Rue Paul Verlaine, 21000 DIJON","10 C Rue Paul Verlaine, 21000 DIJON",DIJON 783309776,FR65783309776,574 000€,Cie Européenne des Parfums,10c rue Paul Verlaine 21000 DIJON,,coucou@parfums-cep.com
Compactor,CIE EUROPE,"66 avenue des Champs-Elysées, 75008 Paris","39 Allée Hélène Boucher, 59118 Wambrechies, France",Paris 326 534 955,FR34326534955,500 000€,César EPICUREO,"39 allée Hélène Boucher, 59118 Wambrechies",,c.epicureo@cie-europe.fr
Fackelmann,FACKELMANN France,"42 RUE DU 3E RTA, 88540 BUSSANG, France","42 RUE DU 3E RTA, 88540 BUSSANG, France",EPINAL 305 320 004,FR82305320004,400 000 €,Fackelmann France SAS,"42 rue du 3e R.T.A., 88540, Bussang",,marketplaces@fackelmann.fr
Lorena Canals,LORENA CANALS SL,"Calle Ponce de León 4, 08960, Sant Just Desvern, Espagne","Calle Ponce de León 4, 08960, Sant Just Desvern, Espagne",B65606402,ESB65606402,"33.100,00 €",Lorena Canals S.L,"Carrer de Ponce de León, 4",,mkp@lorenacanals.com
Nattiot,FHD,"1 Rue Kloster, 67140 BARR","45 chemin du Beulenwoerth, 67000 STRASBOURG",Colmar 498 788 173,FR45498788173,18500 €,SAS FHD,"1, rue Kloster 67140 Barr",France,contact@nattiot.fr
Senso Pur,SENSO PUR SAS,"40 RUE ANTOINE CONDORCET, 38090 VAULX-MILIEU, France","40 RUE ANTOINE CONDORCET, 38090 VAULX-MILIEU, France",VIENNE 521392613,FR83521392613,10 000 €,SENSO PUR,"40 Rue Antoine Condorcet 38090 VAULX-MILIEU, FRANCE",,contact@senso-pur.com
Emma Matelas,EMMA MATRATZEN GMBH,"Wilhelm-Leuschner-Straße 78, 60329 Frankfurt am Main","Wilhelm-Leuschner-Straße 78, 60329 Frankfurt am Main",Francfort-sur-le-Main HRB 103278,FR 30 838 017 150,25 000€,Emma Matratzen GmbH,"Emma Matratzen GmbH. Wilhelm Leuschner-Straße 78. 60329 Frankfurt am Main, Germany",,contact@emma.fr
Hypnia,HELIOS WEB,"118 route d’Espagne Le Phenix bâtiment A, 31100 TOULOUSE","118 route d’Espagne Le Phenix  bâtiment A, 31100 TOULOUSE",Toulouse 793 400 227,FR46793400227,"63 157, 80 €",Samuel GALLOO,118 Route d'Espagne Bâtiment le Phenix,,samuel@hypnia.com
Matelas de Morphée,SARL LOFATEX,93 Rue du Touquet 59200 TOURCOING,93 Rue du Touquet 59200 TOURCOING,LILLE 489 518 563,FR48489518563,4 000 €,SARL LOFATEX,93 rue du Touquet 59200 Tourcoing,,src.matelas.morphee@gmail.com
LeMagDéco,FR BEDDING SAS,"45 rue du Cardinal Lemoine, 75005 PARIS","45 rue du Cardinal Lemoine, 75005 PARIS",Paris 820 274 041,FR35820274041,1000 €,BAUDIN Serge,"AUBE BEDDING, 10 av. de l’Europe, 10200 Bar-sur-Aube, France",,sbaudin@adova-group.com
ARTIME,F2J.COM SAS,"56 Avenue du 11 Novembre 1918 , 69160 Tassin-La-Demi-Lune","56 Avenue du 11 Novembre 1918 , 69160 Tassin-La-Demi-Lune",LYON 478 564 198,FR68478564198,40 000 €,LAYANI,"50 avenue Paul Langevin, 31400 Toulouse",,contact@ardtime.com
BJORN,Esalad SAS,"8 rue Anatole France, 94230 Cachan, France","8 rue Anatole France, 94230 Cachan, France",821 198 876 R.C.S. Creteil,FR49821198876,100 000 €,ESALAD - BJÖRN,8 rue Anatole France 94230 Cachan,,hello@bjorn.shop
Costa Nova,GRESTEL PRODUCTOS CERAMICOS,"Zona Industrial de Vagos, Lote 78, 3840-385 Vagos, Portugal","Zona Industrial de Vagos, Lote 78, 3840-385 Vagos, Portugal",Vagos 504 266 098,PT 504 266 098,526 318 €,"Grestel Produtos Cerâmicos, S.A.","Zona Industrial de Vagos, lote 29, 3840-385 Vagos",,costanova@costanova.pt
Cosy Moments,BILLIET-VANLAERE,"Bevrijdingslaan, 13-15, 8700 Tielt, Belgique","Bevrijdingslaan, 13-15, 8700 Tielt, Belgique",0408161845,BE0408161845,"549 655,44 €",Christoph Billiet,"BEUKENDREEF, 4-6, 8770 INGELMUNSTER",,cbilliet@billiet.com
La Table d'Arc,ARC WEB & RETAIL SASU,"104, avenue Général De Gaulle 62510 ARQUES","104, avenue Général De Gaulle 62510 ARQUES",BOULOGNE 483 855 227,FR 75 483 855 227,210 400 €,ARC FRANCE,104 AVENUE DU GENERAL DE GAULLE - 62510 ARQUES - FRANCE,,contact@arc-intl.com
Amefa Couzon,AMEFA FRANCE SAS,"12-14 rue de l'Auvergne, 42440 NOIRETABLE","12-14 rue de l'Auvergne, 42440 NOIRETABLE",ST ETIENNE 404 745 275,FR22404745275,460 000 €,AMEFA FRANCE SAS,"12 14 rue de l'Auvergne, 42 440 Noirétable, France",,client@amefa.fr
Durance,LES COMPTOIRS DE DURANCE,"125 Chemin de Dagasse, 26230 Grignan, France","125 Chemin de Dagasse, 26230 Grignan, France",Romans B 443 093 562,FR70443093562,1 081 600 €,Nicolas Ruth,125 Chemin de Dagasse 26230 Grignan,,ecommerce@durance.fr
Laguiole Cuisson,SIMCO CASH,45 Avenue Victor Hugo 93300 AUBERVILLIERS,45 Avenue Victor Hugo 93300 AUBERVILLIERS,Bobigny 491 291 969,FR10491291969,1 394 066 €,Sarah Dolly Léa,50 Av Victor Hugo 93300 Aubervilliers,,sarah@ctfi.fr
Don Hierro,DON HIERRO S.L.,"Ctra. CV50 Km. 3,9 46760 TAVERNES DE LA VALLDIGNA (ESPAGNE)","Ctra. CV50 Km. 3,9 46760 TAVERNES DE LA VALLDIGNA (ESPAGNE)",VALENCIA ESB46374765,ESB46374765,3 000 €,"DON HIERRO, S.L.","Ctra. CV. 50 Km 3,9  46760 Tavernes de la Valldigna (Espagne)",,info@donhierro.com
Cristel,CRISTEL SAS,"Parc d’activité du Moulin, 25490 FRESCHES LE CHATEL","Parc d’activité du Moulin, 25490 FRESCHES LE CHATEL",BELFORT 339 841 132,FR58339841132,7 000 000 €,CRISTEL,Parc d'activité du moulin - 25490 FESCHES LE CHATEL - France,,info@cristel.com
Couteaux du Chef,L&W SARL,"245 Allée Louis Blériot - Résidence Mandelieu 2000, 06210 MANDELIEU-LA-NAPOULE","245 Allée Louis Blériot - Résidence Mandelieu 2000, 06210 MANDELIEU-LA-NAPOULE",Cannes 518 435 276,FR80518435276,15 000 €,SARL LW,245 allée Louis Blériot 06210 Mandelieu la Napoule,,contact@couteauxduchef.com
Gefu,GEFU GmbH,"Braukweg 28, 59889 ESLOHE ALLEMAGNE","Braukweg 28, 59889 ESLOHE ALLEMAGNE",HRB 11568,FR 84 902 205 269,50 000€,Nico Zimmerling,"Braukweg 28, 59889 Eslohe",,info@gefu.com
Sabre,SABRE SAS,4 Allée des Vergers 78240 AIGREMONT,4 Allée des Vergers 78240 AIGREMONT,VERSAILLES 390 649 044,FR 313 906 490 44,1 050 000 €,Gelb Francis,17 avenue du professeur Victor Pauchet,,francis.gelb@sabre.fr
Zwilling Staub,ZWILLING STAUB France,"47 bis rue des vinaigriers, 75010 PARIS, France","47 bis rue des vinaigriers, 75010 PARIS, France",Paris 301 503 108,FR50301503108,"24 900 000,00 €",Strehl Gernot,"ZWILLING J.A. Henckels Deutschland GmbH, Grünewalder Str. 14-22, 42657 Solingen, Allemagne",,G.Strehl@zwilling.com
V33,V33 SA,"La Muyre, 39210 DOMBLANS","La Muyre, 39210 DOMBLANS",LONS LE SAUNIER 305 690 158,FR305690158,8 160 000 €,Groupe V33,route de la Muyre,,fds.produits@v33.com
Au Jardin de Chloé,INSELL,"Le Prélude A N°005, 175 avenue de l'Engrain, 30133 Les Angles, France","Le Prélude A N°005, 175 avenue de l'Engrain, 30133 Les Angles, France",Nîmes 513861724,FR74513861724,10 000€,Lingli KE,"3 rue Albert Granier, 30133 Les Angles",France,contact@jardindechloe.com
Cook'in Garden,GARDEN MAX,"112 allée Hélène Boucher, 59118 Wambrechies, France","112 allée Hélène Boucher, 59118 Wambrechies, France",Lille Métropole 332174945,FR03332174945,400 000 €,GARDEN MAX,"112 allée Hélène Boucher, 59118 Wambrechies, France",France,charlotte.s@garden-max.fr
Happy Garden,ALLSTORE,"121 Allée Hélène Boucher, 59118 Wambrechies","121 Allée Hélène Boucher, 59118 Wambrechies",LILLE 749 881 934,FR86749881934,25 000 €,ALLSTORE,"Parc du Moulin 121 allée Hélène Boucher, 59118 Wambrechies, France",,contact@happygarden.fr
GARDENPARTY,VERYCOOK SAS,7 RUE DES PLATRIERS 69009 LYON,7 RUE DES PLATRIERS 69009 LYON,LYON B 532 047 982,FR34532047982,226 480 €,Alexandre CARRE,34 cours d’Herbouville 69004 LYON,France,a.carre@verycook.com
No Name,RAUTUREAU APPLE SHOES SAS,"2 Rue des Boutons d'Or, 85 130 LA GAUBRETIERE","Route des Bois, 85130 LA GAUBRETIERE",La Roche Sur Yon 302 640 008,FR36302640008,5 297 875 €,RAUTUREAU APPLE SHOES,2 RUE DES BOUTONS D’OR 85130 LA GAUBRETIERE,,contact@no-name.fr
